09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
09:50:35 ReplicaSet rfs-test-cluster-8957ffc5b 2220:	Created pod: rfs-test-cluster-8957ffc5b-ttxsd
09:51:25 ReplicaSet rfs-test-cluster-8957ffc5b 2336:	Created pod: rfs-test-cluster-8957ffc5b-5gpg7
09:52:15 ReplicaSet rfs-test-cluster-8957ffc5b 2465:	Created pod: rfs-test-cluster-8957ffc5b-25rc6
09:54:58 ReplicaSet rfs-test-cluster-8957ffc5b 2820:	Deleted pod: rfs-test-cluster-8957ffc5b-5gpg7
09:55:48 ReplicaSet rfs-test-cluster-8957ffc5b 2944:	Deleted pod: rfs-test-cluster-8957ffc5b-ttxsd
09:56:38 ReplicaSet rfs-test-cluster-8957ffc5b 3074:	Deleted pod: rfs-test-cluster-8957ffc5b-25rc6
09:39:25 PodDisruptionBudget rfs-test-cluster 849:	No matching pods found
09:39:26 Deployment rfs-test-cluster 853:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
09:50:35 Deployment rfs-test-cluster 2219:	Scaled up replica set rfs-test-cluster-8957ffc5b to 1
09:51:25 Deployment rfs-test-cluster 2281:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
09:51:25 Deployment rfs-test-cluster 2281:	Scaled up replica set rfs-test-cluster-8957ffc5b to 2
09:52:15 Deployment rfs-test-cluster 2421:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
09:52:15 Deployment rfs-test-cluster 2458:	Scaled up replica set rfs-test-cluster-8957ffc5b to 3
09:53:05 Deployment rfs-test-cluster 2564:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
09:54:08 Deployment rfs-test-cluster 2704:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
09:54:58 Deployment rfs-test-cluster 2814:	Scaled down replica set rfs-test-cluster-8957ffc5b to 2
09:54:58 Deployment rfs-test-cluster 2823:	Scaled up replica set rfs-test-cluster-54df69f8df to 2
09:55:48 Deployment rfs-test-cluster 2908:	(combined from similar events): Scaled down replica set rfs-test-cluster-855cf5cb54 to 0
