06:50:12 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Created container sentinel
06:50:13 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Started container sentinel
06:50:13 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:50:13 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.274504ms
06:50:13 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Created container sentinel-exporter
06:50:16 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Started container sentinel-exporter
06:54:16 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Stopping container sentinel
06:54:16 Pod rfs-test-cluster-6b66d4497f-tz5sk 2557:	Stopping container sentinel-exporter
06:43:35 Pod rfs-test-cluster-6b66d4497f-wmjqs 1671:	Successfully assigned acto-namespace/rfs-test-cluster-6b66d4497f-wmjqs to acto-cluster-1-worker3
06:43:36 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Container image "redis:6.2.6-alpine" already present on machine
06:43:36 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Created container sentinel-config-copy
06:43:48 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Started container sentinel-config-copy
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Container image "redis:6.2.6-alpine" already present on machine
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Created container sentinel
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Started container sentinel
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 141.88375ms
06:43:50 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Created container sentinel-exporter
06:43:53 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Started container sentinel-exporter
06:47:08 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Stopping container sentinel
06:47:08 Pod rfs-test-cluster-6b66d4497f-wmjqs 1673:	Stopping container sentinel-exporter
06:42:45 ReplicaSet rfs-test-cluster-6b66d4497f 1544:	Created pod: rfs-test-cluster-6b66d4497f-24tgt
06:43:35 ReplicaSet rfs-test-cluster-6b66d4497f 1668:	Created pod: rfs-test-cluster-6b66d4497f-wmjqs
06:44:26 ReplicaSet rfs-test-cluster-6b66d4497f 1800:	Created pod: rfs-test-cluster-6b66d4497f-dk4cg
06:47:08 ReplicaSet rfs-test-cluster-6b66d4497f 2156:	Deleted pod: rfs-test-cluster-6b66d4497f-wmjqs
